anime_id,titulo,tipo,estudio_principal,ano,temporada,episodios,fonte,score_medio,membros,popularidade
1,Cowboy Bebop,TV,Sunrise,1998,Primavera,26,Original,8.78,1251960,39
5,Cowboy Bebop: Tengoku no Tobira,Filme,Bones,2001,Não aplicável,1,Original,8.39,273145,518
6,Trigun,TV,Madhouse,1998,Primavera,26,Manga,8.24,558913,201
16,Hachimitsu to Clover,TV,J.C.Staff,2005,Primavera,24,Manga,8.06,214499,687
19,Monster,TV,Madhouse,2004,Primavera,74,Manga,8.76,614100,169
20,Naruto,TV,Studio Pierrot,2002,Outono,220,Manga,7.91,1830540,8
24,School Rumble,TV,Studio Comet,2004,Outono,26,Manga,7.94,275464,514
27,Trinity Blood,TV,Gonzo,2005,Primavera,24,Light novel,7.32,158343,936
30,Neon Genesis Evangelion,TV,Gainax,1995,Outono,26,Original,8.32,1160651,54
31,Neon Genesis Evangelion: Death & Rebirth,Filme,Gainax,1997,Não aplicável,1,Original,7.45,180681,833
32,Neon Genesis Evangelion: The End of Evangelion,Filme,Gainax,1997,Não aplicável,1,Original,8.51,572080,195
33,Kenpuu Denki Berserk,TV,OLM,1997,Outono,25,Manga,8.49,432190,301
43,Koukaku Kidoutai,Filme,Production I.G,1995,Não aplicável,1,Manga,8.29,468279,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,Studio Deen,1999,Não aplicável,4,Manga,8.73,228484,637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,Gallop,1996,Inverno,94,Manga,8.31,386195,345
47,Akira,Filme,Tokyo Movie Shinsha,1988,Não aplicável,1,Manga,8.17,566538,197
48,.hack//Sign,TV,Bee Train,2002,Primavera,26,Original,6.98,158227,940
50,Aa! Megami-sama! (TV),TV,AIC,2005,Inverno,24,Manga,7.35,135747,1083
57,Beck,TV,Madhouse,2004,Outono,26,Manga,8.31,255668,570
59,Chobits,TV,Madhouse,2002,Primavera,26,Manga,7.43,402646,332
60,Chrno Crusade,TV,Gonzo,2003,Outono,24,Manga,7.66,198007,742
61,D.N.Angel,TV,Xebec,2003,Primavera,26,Manga,7.2,167615,891
63,DearS,TV,Daume,2004,Verão,12,Manga,6.62,128788,1146
64,Rozen Maiden,TV,Nomad,2004,Outono,12,Manga,7.44,176775,846
65,Rozen Maiden: Träumend,TV,Nomad,2005,Outono,12,Manga,7.65,93768,1479
66,Azumanga Daioh,TV,J.C.Staff,2002,Primavera,26,4-koma manga,7.98,262980,554
67,Basilisk: Kouga Ninpou Chou,TV,Gonzo,2005,Primavera,24,Manga,7.58,156661,940
68,Black Cat (TV),TV,Gonzo,2005,Outono,23,Manga,7.38,231668,622
71,Full Metal Panic!,TV,Gonzo,2002,Inverno,24,Light novel,7.65,411230,322
72,Full Metal Panic? Fumoffu,TV,Kyoto Animation,2003,Verão,12,Light novel,8.07,254465,571
73,Full Metal Panic! The Second Raid,TV,Kyoto Animation,2005,Verão,13,Light novel,7.96,227927,639
79,Shuffle!,TV,Asread,2005,Verão,24,Visual novel,7.09,240751,600
90,Mobile Suit Gundam Wing,TV,Sunrise,1995,Primavera,49,Original,7.72,132208,1118
93,Mobile Suit Gundam SEED,TV,Sunrise,2002,Outono,50,Original,7.79,140346,1057
97,Last Exile,TV,Gonzo,2003,Primavera,26,Original,7.82,149528,995
101,Air,TV,Kyoto Animation,2005,Inverno,12,Visual novel,7.32,259381,563
120,Fruits Basket,TV,Studio Deen,2001,Verão,26,Manga,7.69,420919,314
121,Fullmetal Alchemist,TV,Bones,2003,Outono,51,Manga,8.17,1151621,52
133,Green Green,TV,Studio Matrix,2003,Verão,12,Visual novel,6.21,106208,1333
134,Gunslinger Girl,TV,Madhouse,2003,Outono,13,Manga,7.42,161010,920
136,Hunter x Hunter,TV,Nippon Animation,1999,Outono,62,Manga,8.42,416227,319
145,Kareshi Kanojo no Jijou,TV,Gainax,1998,Outono,26,Manga,7.61,170539,875
