anime_id,genero_id
1,1
1,2
1,4
1,7
1,29
1,36
5,1
5,7
5,22
5,29
5,36
6,1
6,29
6,2
6,4
6,7
6,33
16,4
16,7
16,15
16,26
16,35
19,7
19,14
19,22
19,24
19,25
19,30
19,40
20,1
20,2
20,4
20,38
20,18
20,33
24,4
24,26
24,28
24,33
27,1
27,39
27,41
30,1
30,29
30,5
30,25
30,7
30,19
31,7
31,19
31,25
31,29
32,29
32,5
32,25
32,7
32,19
33,1
33,2
33,6
33,7
33,9
33,14
33,20
33,26
33,30
33,39
43,1
43,19
43,24
43,25
43,29
43,30
44,1
44,13
44,7
44,26
44,18
44,27
44,33
45,1
45,2
45,4
45,13
45,26
45,27
45,33
47,1
47,20
47,29
47,2
47,14
47,39
47,30
48,10
48,29
48,2
48,22
48,17
48,9
50,4
50,39
50,17
50,26
50,30
57,4
57,7
57,21
57,33
57,35
59,29
59,4
59,7
59,26
59,8
59,30
60,1
60,6
60,13
60,26
60,33
60,39
61,1
61,4
61,17
61,26
61,9
61,28
61,31
63,29
63,11
63,4
63,26
63,8
63,33
64,1
64,4
64,7
64,17
64,30
65,1
65,4
65,7
65,17
65,30
66,35
66,4
66,28
67,1
67,2
67,13
67,39
67,26
67,27
67,9
68,29
68,2
68,4
68,38
68,33
71,1
71,20
71,29
71,4
71,19
72,1
72,4
72,28
73,1
73,20
73,19
79,11
79,4
79,7
79,17
79,26
79,8
79,9
79,28
79,30
90,1
90,20
90,29
90,36
90,7
90,19
93,1
93,7
93,19
93,20
93,26
93,29
93,36
97,1
97,29
97,2
101,35
101,39
101,7
101,26
120,35
120,4
120,39
120,7
120,26
120,31
121,1
121,2
121,4
121,7
121,9
121,17
121,20
121,33
133,4
133,8
133,26
133,28
133,35
134,1
134,25
134,20
134,7
134,29
136,1
136,2
136,38
136,9
136,33
145,4
145,7
145,26
145,28
145,31
145,35
147,7
147,26
147,35
149,1
149,22
149,39
149,7
149,26
149,9
149,15
149,34
150,1
150,20
150,22
150,14
150,39
150,7
150,41
154,1
154,2
154,4
154,38
154,39
154,33
157,4
157,8
157,9
157,11
157,17
157,26
157,28
157,33
157,38
157,39
164,1
164,2
164,9
169,1
169,14
169,22
169,26
169,38
169,39
169,41
170,4
170,7
170,28
170,33
170,37
174,1
174,8
174,18
174,4
174,38
174,28
174,33
177,1
177,2
177,9
177,17
177,26
177,39
177,33
185,1
185,3
185,7
185,30
185,37
186,1
186,3
186,7
186,30
186,37
189,4
189,8
189,11
189,26
189,33
189,35
190,4
190,7
190,8
190,26
190,33
195,29
195,4
195,7
195,26
195,28
199,2
199,39
199,7
202,1
202,2
202,7
202,9
202,22
202,29
205,1
205,2
205,4
205,13
205,27
205,33
223,2
223,4
223,9
223,18
223,33
223,38
225,1
225,29
225,2
225,4
225,38
225,17
225,9
225,33
226,1
226,14
226,25
226,39
226,7
226,26
226,30
227,1
227,29
227,4
227,23
227,5
227,25
227,19
228,22
228,14
228,25
228,39
232,2
232,4
232,7
232,17
232,26
232,9
232,28
232,31
237,2
237,7
237,19
237,26
237,29
240,35
240,4
240,23
241,11
241,4
241,26
241,8
241,9
241,28
241,33
245,35
245,4
245,7
245,28
245,33
248,4
248,8
248,11
248,26
248,33
249,1
249,2
249,4
249,13
249,6
249,39
249,17
249,26
249,9
249,33
256,29
256,36
256,7
256,26
256,19
257,8
257,38
257,18
257,28
263,4
263,37
263,7
263,33
268,2
268,4
268,8
269,1
269,2
269,4
269,38
269,39
269,33
270,1
270,14
270,39
270,41
270,30
317,1
317,38
317,9
322,4
322,7
322,15
322,26
322,35
323,22
323,5
323,24
323,25
323,39
323,7
323,40
330,4
330,7
330,26
330,8
330,33
339,5
339,7
339,22
339,25
339,29
339,39
355,1
355,7
355,9
355,26
355,28
355,39
356,1
356,39
356,17
356,26
356,9
357,4
357,17
357,8
372,4
372,7
372,9
372,17
372,26
372,31
376,14
376,25
376,39
376,7
376,8
376,30
384,1
384,29
384,14
384,25
384,39
384,7
384,8
387,35
387,22
387,25
387,7
387,9
392,1
392,4
392,6
392,39
392,18
392,33
395,1
395,29
395,14
395,25
395,39
395,7
395,8
405,14
405,39
405,41
416,1
416,20
416,2
416,4
416,13
416,7
416,26
430,20
430,4
430,13
430,7
430,9
430,33
431,2
431,7
431,9
431,26
433,7
433,20
433,26
433,29
437,5
437,7
437,14
437,25
442,2
442,4
442,13
442,39
442,7
442,33
457,2
457,35
457,22
457,13
457,39
457,9
457,30
467,1
467,20
467,29
467,24
467,19
467,30
468,20
468,29
468,24
468,25
468,19
469,4
469,26
469,41
469,28
469,33
481,2
481,10
481,33
482,1
482,10
482,4
482,9
482,33
486,1
486,2
486,25
486,35
512,2
512,4
512,7
512,17
512,26
512,9
513,2
513,9
513,26
513,29
523,2
523,4
523,39
527,1
527,2
527,4
527,16
527,9
528,1
528,2
528,4
528,16
528,7
528,9
530,6
530,17
530,26
530,31
543,1
543,29
543,14
543,7
543,26
543,41
543,9
550,1
550,10
550,4
550,9
550,33
552,1
552,2
552,4
552,9
552,16
572,2
572,9
578,7
578,13
585,35
585,7
585,26
585,31
587,4
587,7
587,26
594,1
594,2
594,4
594,33
594,38
597,2
597,7
597,9
710,4
710,7
710,26
710,30
740,6
740,17
740,26
740,31
759,4
759,7
762,1
762,2
762,39
762,7
762,33
777,1
777,20
777,14
777,39
777,41
777,30
790,25
790,22
790,29
801,1
801,20
801,29
801,22
801,24
801,19
801,30
813,1
813,2
813,4
813,9
813,18
813,33
813,38
834,1
834,2
834,4
834,38
834,39
834,33
846,4
846,26
846,28
846,33
849,4
849,22
849,23
849,28
849,29
849,35
853,4
853,11
853,26
853,28
853,31
856,1
856,7
856,9
856,29
857,1
857,4
857,8
857,33
857,37
861,4
861,7
861,22
861,25
861,39
874,2
874,4
874,7
874,9
874,33
877,21
877,35
877,4
877,7
877,26
877,31
889,1
889,30
894,1
894,29
894,2
894,4
894,9
894,33
896,1
896,2
896,4
896,9
896,29
896,33
898,1
898,2
898,4
898,9
898,29
898,33
899,1
899,2
899,4
899,9
899,29
899,33
901,1
901,2
901,4
901,9
901,29
901,33
903,1
903,2
903,4
903,6
903,9
903,18
903,33
903,38
905,1
905,2
905,4
905,9
905,29
905,33
918,1
918,4
918,13
918,23
918,27
918,29
918,33
934,22
934,5
934,14
934,25
934,39
934,40
936,2
936,4
936,7
936,9
936,33
936,39
969,1
969,2
969,9
969,26
969,39
969,7
969,22
969,33
1004,7
1004,25
1004,26
1004,35
1033,1
1033,2
1033,7
1033,9
1033,13
1033,26
1117,2
1117,4
1117,16
1117,7
1117,9
1118,1
1118,2
1118,4
1118,16
1118,7
1118,9
1119,2
1119,4
1119,16
1119,7
1119,9
1132,1
1132,2
1132,4
1132,7
1132,9
1132,33
1142,7
1142,15
1142,26
1142,35
1195,1
1195,2
1195,11
1195,4
1195,17
1195,26
1195,8
1195,9
1195,28
1210,4
1210,25
1210,7
1210,26
1222,35
1222,7
1222,26
1222,31
1292,1
1292,2
1292,27
1313,1
1313,2
1313,4
1313,7
1313,9
1313,16
1361,29
1482,1
1482,2
1482,4
1482,38
1482,6
1482,33
1519,1
1519,30
1530,35
1530,39
1530,7
1530,26
1535,22
1535,24
1535,25
1535,39
1535,40
1535,33
1536,1
1536,9
1536,39
1536,4
1536,28
1536,33
1559,1
1559,4
1559,18
1559,28
1559,33
1562,4
1562,31
1564,1
1564,2
1564,4
1564,16
1564,9
1571,22
1571,4
1571,14
1571,39
1571,31
1575,1
1575,20
1575,29
1575,38
1575,7
1575,19
1575,28
1594,22
1594,14
1594,25
1594,39
1604,1
1604,4
1604,33
1604,38
1639,12
1639,42
1686,1
1686,2
1686,4
1686,38
1686,39
1686,33
1689,7
1689,26
1689,35
1691,1
1691,17
1691,26
1691,9
1691,33
1698,21
1698,35
1698,4
1698,7
1698,26
1698,15
1699,7
1699,9
1699,13
1699,26
1723,7
1723,26
1723,9
1723,28
1726,1
1726,6
1726,9
1735,1
1735,2
1735,4
1735,38
1735,18
1735,33
1818,1
1818,2
1818,38
1818,6
1818,39
1818,9
1818,33
1827,1
1827,2
1827,13
1827,9
1829,2
1829,17
1829,9
1840,1
1840,2
1840,11
1840,4
1840,17
1840,26
1840,8
1840,9
1840,28
1887,35
1887,4
1887,23
1887,28
1889,22
1889,25
1889,39
1889,40
1943,5
1943,9
1943,14
1943,22
1943,25
1943,29
1943,40
1965,7
1965,26
1965,35
1965,39
2001,1
2001,2
2001,4
2001,19
2001,29
2025,1
2025,29
2025,22
2025,38
2026,1
2026,11
2026,4
2026,23
2026,26
2026,33
2034,4
2034,26
2034,31
2104,4
2104,23
2104,26
2104,28
2104,33
2129,7
2129,26
2129,28
2131,4
2131,17
2131,8
2144,1
2144,2
2167,4
2167,7
2167,26
2167,28
2167,35
2167,39
2236,2
2236,7
2236,26
2236,29
2251,1
2251,4
2251,13
2251,22
2251,39
2404,1
2404,14
2404,33
2404,39
2418,1
2418,2
2418,13
2418,27
2472,1
2472,2
2472,4
2472,9
2472,33
2476,11
2476,7
2476,26
2476,28
2581,1
2581,20
2581,29
2581,36
2581,7
2581,19
2593,1
2593,22
2593,39
2593,40
2605,4
2605,23
2605,28
2605,33
2759,1
2759,29
2759,25
2759,7
2759,19
2787,1
2787,39
2787,7
2787,26
2787,9
2787,28
2889,1
2889,2
2889,4
2889,38
2889,39
2889,33
2890,2
2890,9
2904,1
2904,20
2904,29
2904,38
2904,7
2904,19
2923,4
2923,17
2923,28
2923,31
2924,22
2924,7
2924,26
2926,7
2926,26
2926,28
2952,1
2952,9
2952,38
2961,1
2961,9
2961,16
2961,29
2963,35
2963,4
2963,28
2966,2
2966,9
2966,13
2966,26
2993,11
2993,4
2993,26
2993,8
2993,41
2993,9
2993,28
2993,33
2994,22
2994,24
2994,25
2994,39
2994,40
3002,10
3002,25
3002,40
3002,30
3091,22
3091,4
3091,25
3091,39
3091,7
3092,4
3092,7
3092,26
3092,34
3167,29
3167,35
3228,4
3228,23
3228,28
3228,33
3229,4
3229,8
3229,11
3229,23
3229,26
3342,1
3342,14
3342,29
3342,32
3342,39
3455,29
3455,11
3455,4
3455,26
3455,8
3455,28
3455,33
3457,7
3457,22
3457,26
3457,31
3457,39
3457,41
3467,4
3467,26
3470,4
3470,26
3470,28
3470,31
3503,4
3503,8
3503,11
3503,26
3503,28
3503,33
3503,35
3503,39
3572,1
3572,36
3572,19
3572,26
3572,20
3572,21
3572,29
3588,1
3588,9
3588,4
3588,39
3588,33
3652,22
3652,4
3652,25
3652,39
3652,40
3655,1
3655,9
3655,39
3655,4
3655,7
3655,33
3667,1
3667,8
3667,17
3667,20
3667,29
3702,21
3702,4
3702,30
3712,1
3712,2
3712,11
3712,4
3712,17
3712,26
3712,8
3712,9
3712,28
3731,4
3731,26
3731,31
3782,1
3782,22
3782,39
3782,26
3782,40
3783,1
3783,22
3783,39
3783,7
3783,40
3784,1
3784,29
3784,25
3784,7
3784,19
3785,1
3785,29
3785,25
3785,7
3785,19
3901,1
3901,4
3901,13
3901,22
3901,39
3927,1
3927,7
3927,19
3927,20
3927,29
3927,36
3958,4
3958,28
3958,33
3958,39
4059,7
4059,26
4059,28
4059,35
4063,1
4063,4
4063,8
4063,11
4063,38
4081,35
4081,6
4081,39
4081,7
4081,31
4107,1
4107,4
4107,19
4155,1
4155,2
4155,4
4155,7
4155,9
4155,33
4181,35
4181,4
4181,39
4181,7
4181,26
4182,29
4182,4
4182,23
4186,1
4186,2
4186,9
4186,28
4186,29
4214,4
4214,8
4214,9
4214,11
4214,26
4214,28
4214,41
4224,35
4224,4
4224,26
4224,28
4280,1
4280,22
4280,39
4280,40
4282,1
4282,22
4282,39
4282,7
4282,26
4282,40
4382,4
4382,22
4382,23
4382,26
4382,28
4382,29
4382,35
4437,1
4437,18
4437,33
4437,39
4472,4
4472,23
4472,28
4472,35
4477,4
4477,15
4477,21
4477,26
4477,35
4565,1
4565,19
4565,29
4565,36
4565,38
4654,1
4654,17
4654,29
4654,38
4722,4
4722,7
4722,26
4722,31
4725,1
4725,38
4725,39
4725,40
4744,11
4744,4
4744,26
4744,8
4744,28
4752,7
4752,22
4752,26
4752,31
4752,39
4752,41
4789,22
4789,39
4789,7
4789,26
4814,4
4814,7
4814,26
4814,34
4835,1
4835,2
4835,4
4835,38
4835,39
4835,33
4896,22
4896,14
4896,25
4896,39
4898,1
4898,22
4898,4
4898,13
4898,6
4898,39
4898,33
4901,1
4901,30
4975,29
4975,11
4975,22
4975,25
4975,39
4999,11
4999,4
4999,26
4999,8
4999,18
4999,33
5030,4
5030,23
5030,28
5030,32
5040,37
5040,25
5040,30
5042,4
5042,8
5042,11
5042,26
5042,28
5042,30
5060,4
5060,13
5060,23
5081,26
5081,39
5081,22
5081,41
5112,4
5112,8
5112,9
5112,26
5114,1
5114,20
5114,2
5114,4
5114,7
5114,17
5114,9
5114,33
5177,22
5177,40
5177,28
5204,1
5204,17
5204,22
5204,26
5204,39
5204,40
5205,1
5205,22
5205,39
5205,26
